 10PLJ21, iMAX,2 MB,GOB,0,MATUTINO,0,COSTA ORTE,PUERTO VALLARTA,0,CONOCIDO,0,105 13 32.5  ,20 38 53.7 ,ACTIVO
 10PLJ22, iMAX,2 MB,BIBLIOTECAS,0,MATUTINO,0,CIENEGA,OCOTLAN,0,CONOCIDO,0,102 46 30.30  ,20 21 46.8 ,ACTIVO
 10PLJ23, iMAX,2 MB,IEEA,0,MATUTINO,0,COSTA SUR,VILLA PURIFICACION,0,ABASOLO 174  COL. CENTRO C.P. 48800 ,48800,-104.6028806,19.7196083,ACTIVO
 10PLJ26, iMAX,2 MB,SC,CASA DE LA CULTURA JESUS MARIA,MATUTINO,0,ALTOS SUR,JESUS MARIA,JESUS MARIA,CONSTITUCION 56,0,-102.222694,20.605666,ACTIVO
 10PLJ27, iMAX,2 MB,INEEJAD,MEXTICACAN,MATUTINO,0,ALTOS SUR,MEXTICACAN,MEXTICACAN,MORELOS 1 COL. CENTRO C.P 47340. MEXTICACAN. MEXTICACAN. C.P. ,47340,104.345.08, 214.341.27 ,ACTIVO
 10PLJ28, iMAX,2 MB,BIBLIOTECAS,0,MATUTINO,0,CIENEGA,OCOTLAN,0,HIDALGO 9,0,-102.727756,20.407214,ACTIVO
 10PLJ29, iMAX,2 MB,GOB,0,MATUTINO,0,VALLES,AMECA,0,CONOCIDO,0,104 2 36.9  ,20 33 16.3 ,ACTIVO
 10PLJ30, iMAX,2 MB,SEJ,BENEMERITA Y CENTENARIA ESCUELA ORMAL DE JALISCO,MATUTINO,NORMALES,CENTRO,GUADALAJARA,GUADALAJARA,AVENIDA PROLONGACION ALCALDE 1190ENTRE AVENIDA DE LOS MAESTROS Y CARLOS PEREYRA,44270,103.220.30,205441,ACTIVO
 10PLJ31, iMAX,2 MB,SEJ,ESCUELA ORMAL EXPERIMENTAL,MATUTINO,NORMALES,NORTE,COLOTLAN,COLOTLAN,AVENIDA DEL MAESTRO 50,46200,103.416.39, 2239.325.33 ,ACTIVO
 10PLJ32, iMAX,2 MB,SEJ,ESCUELA ORMAL PARA EDUCADORAS DE UNION DE TULA,MATUTINO,NORMALES,SIERRA DE AMULA,UNION DE TULA,UNION DE TULA,AVENIDA MEXICO ORTE #345,48000,104.515.42, 194.5741.17 ,ACTIVO
 10PLJ33, iMAX,2 MB,SEJ,INSTITUTO TECNOLOGICO SUPERIOR DE PUERTO VALLARTA,MATUTINO,SUPERIOR,COSTA ORTE,PUERTO VALLARTA,PUERTO VALLARTA,COREA DEL SUR 600,48290,105.611.07, 203.3918.18 ,ACTIVO
 10PLJ34, iMAX,2 MB,SEJ,ESCUELA ORMAL EXPERIMENTAL,MATUTINO,NORMALES,VALLES,AMECA,SAN ANTONIO MATUTE,NINOS HEROES 13,46700,103.657.48, 204.3348.61 ,ACTIVO
 10PLJ35, iMAX,2 MB,SEJ,SANTA QUITERIA,MATUTINO,PREESCOLAR,VALLES,EL ARENAL,SANTA QUITERIA, RANCHO LA CANTERA. CALLE TRES CRUCES #600,45350,103.540.65, 2034.2359.96 ,ACTIVO
 10PLJ36, iMAX,2 MB,SEJ,SANTA ANA DE ARRIBA,MATUTINO,PREESCOLAR,ALTOS SUR,SAN MIGUEL EL ALTO,SANTA ANA DE ARRIBA,CONOCIDO SANTA ANA DE ARRIBA,47140,-102.4180556,21.095,ACTIVO
 10PLJ37, iMAX,2 MB,SEJ,SIN AGUA,MATUTINO,PREESCOLAR,ALTOS SUR,SAN MIGUEL EL ALTO,SINAGUA,CONOCIDO SINAGUA,47140,-102.1663333,20.9760833,ACTIVO
 10PLJ38, iMAX,2 MB,SEJ,CANADA GRANDE,MATUTINO,PREESCOLAR,SIERRA OCCIDENTAL,CUAUTLA,CA_ADA GRANDE,CONOCIDO,48150,-104.3965667,20.2572444,ACTIVO
 10PLJ39, iMAX,2 MB,SEJ,FRANCISCO I MADERO,MATUTINO,PREESCOLAR,ALTOS ORTE,LAGOS DE MORENO,LA VIRGEN,CONOCIDO,47400,-101.9776167,21.3616472,ACTIVO
 10PLJ40, iMAX,2 MB,SEJ,COCUASCO,MATUTINO,PREESCOLAR,NORTE,CHIMALTITAN,COCUASCO,CONOCIDO,46300,103.138.48,214504.03,ACTIVO
